#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Nov 28 14:17:12 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       scrod_top_A4_map.ncd
#OUTPUT FILE:      scrod_top_A4_pad.csv
#PART TYPE:        xc6slx150t
#SPEED GRADE:      -3
#PACKAGE:          fgg676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,SCL_MON,IOB,IO_L14N_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
A3,SDA_MON,IOB,IO_L14P_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
A4,LEDS<11>,IOB,IO_L22N_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
A5,mgttxfault<1>,IOB,IO_L24N_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
A6,mgttxn,OPAD,MGTTXN0_101,OUTPUT,,,,,,,,LOCATED,NO,NONE,
A7,,,MGTAVTTTX_101,,,,,,,,,,,,
A8,,OPAD,MGTTXN1_101,UNUSED,,,,,,,,,,,
A9,,,GND,,,,,,,,,,,,
A10,mgtclk0n,IPAD,MGTREFCLK0N_101,INPUT,,,,,,NONE,,LOCATED,NO,NONE,
A11,,,GND,,,,,,,,,,,,
A12,mgtmod2<1>,IOB,IO_L36N_GCLK14_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
A13,,IOBS,IO_L35N_GCLK16_0,UNUSED,,0,,,,,,,,,
A14,RAM_IO<7>,IOB,IO_L37N_GCLK12_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
A15,,,GND,,,,,,,,,,,,
A16,,IPAD,MGTREFCLK1N_123,UNUSED,,,,,,,,,,,
A17,,,GND,,,,,,,,,,,,
A18,,OPAD,MGTTXN0_123,UNUSED,,,,,,,,,,,
A19,,,MGTAVTTTX_123,,,,,,,,,,,,
A20,,OPAD,MGTTXN1_123,UNUSED,,,,,,,,,,,
A21,,,GND,,,,,,,,,,,,
A22,RAM_A<4>,IOB,IO_L63N_SCP6_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
A23,RAM_A<2>,IOB,IO_L65N_SCP2_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
A24,,,TCK,,,,,,,,,,,,
A25,BUSB_DO<0>,IOB,IO_L2N_M5A14_5,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,NO,NONE,
A26,,,GND,,,,,,,,,,,,
AA1,TDC5_TRG<1>,IOB,IO_L36N_M3DQ9_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
AA2,TDC_MON_TIMING<4>,IOB,IO_L36P_M3DQ8_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
AA3,BUSA_SAMPLESEL_S<1>,IOB,IO_L2N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
AA4,BUSA_SAMPLESEL_S<0>,IOB,IO_L2P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
AA5,,,VCCAUX,,,,,,,,2.5,,,,
AA6,BUSA_DO<8>,IOB,IO_L64N_D9_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
AA7,BUSA_SR_CLEAR,IOB,IO_L64P_D8_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AA8,TDC_AMUX_S<2>,IOB,IO_L52N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AA9,WL_CLK_P<4>,IOBM,IO_L47P_2,OUTPUT,LVDS_25,2,,,,,,LOCATED,NO,NONE,
AA10,SR_CLOCK<4>,IOB,IO_L48P_D7_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AA11,TDC_CS_DAC<9>,IOB,IO_L41N_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AA12,SSTIN_N<0>,IOBS,IO_L33N_2,,LVDS_25,2,,,,,,LOCATED,NO,,
AA13,SSTIN_N<9>,IOBS,IO_L36N_2,,LVDS_25,2,,,,,,LOCATED,NO,,
AA14,,,VCCO_2,,,2,,,,,2.50,,,,
AA15,WL_CLK_P<8>,IOBM,IO_L28P_2,OUTPUT,LVDS_25,2,,,,,,LOCATED,NO,NONE,
AA16,WL_CLK_N<3>,IOBS,IO_L24N_VREF_2,,LVDS_25,2,,,,,,LOCATED,NO,,
AA17,TDC_AMUX_S<1>,IOB,IO_L16N_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AA18,WL_CLK_P<7>,IOBM,IO_L20P_2,OUTPUT,LVDS_25,2,,,,,,LOCATED,NO,NONE,
AA19,SSTIN_P<6>,IOBM,IO_L18P_2,OUTPUT,LVDS_25,2,,,,,,LOCATED,NO,NONE,
AA20,,,VCCO_2,,,2,,,,,2.50,,,,
AA21,SSTIN_P<5>,IOBM,IO_L15P_2,OUTPUT,LVDS_25,2,,,,,,LOCATED,NO,NONE,
AA22,TDC_CS_DAC<4>,IOB,IO_L2N_CMPMOSI_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AA23,SAMPLESEL_ANY<5>,IOB,IO_L67P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
AA24,PCLK<9>,IOB,IO_L67N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
AA25,TDC8_TRG<2>,IOB,IO_L47P_FWE_B_M1DQ0_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
AA26,SHOUT<7>,IOB,IO_L47N_LDC_M1DQ1_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
AB1,BUSB_SCK_DAC,IOB,IO_L32N_M3DQ15_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
AB2,,,GND,,,,,,,,,,,,
AB3,SAMPLESEL_ANY<4>,IOB,IO_L32P_M3DQ14_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
AB4,BUSA_DO<15>,IOB,IO_L8P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
AB5,BUSA_DO<14>,IOB,IO_L1P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
AB6,,,VCCO_2,,,2,,,,,2.50,,,,
AB7,SSTIN_P<3>,IOBM,IO_L53P_2,OUTPUT,LVDS_25,2,,,,,,LOCATED,NO,NONE,
AB8,,,VCCAUX,,,,,,,,2.5,,,,
AB9,WL_CLK_N<4>,IOBS,IO_L47N_2,,LVDS_25,2,,,,,,LOCATED,NO,,
AB10,,,MGTRREF_245,,,,,,,,,,,,
AB11,BUSA_SR_SEL,IOB,IO_L48N_RDWR_B_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AB12,,,MGTAVTTRCAL_245,,,,,,,,,,,,
AB13,SSTIN_P<9>,IOBM,IO_L36P_2,OUTPUT,LVDS_25,2,,,,,,LOCATED,NO,NONE,
AB14,RJ45_TRG_P,IOB,IO_L30P_GCLK1_D13_2,INPUT,LVDS_25,2,,,,NONE,,LOCATED,YES,DIFF_TERM,
AB15,WL_CLK_N<8>,IOBS,IO_L28N_2,,LVDS_25,2,,,,,,LOCATED,NO,,
AB16,,,GND,,,,,,,,,,,,
AB17,WL_CLK_N<7>,IOBS,IO_L20N_2,,LVDS_25,2,,,,,,LOCATED,NO,,
AB18,,,VCCAUX,,,,,,,,2.5,,,,
AB19,SSTIN_N<6>,IOBS,IO_L18N_2,,LVDS_25,2,,,,,,LOCATED,NO,,
AB20,,,GND,,,,,,,,,,,,
AB21,SSTIN_N<5>,IOBS,IO_L15N_2,,LVDS_25,2,,,,,,LOCATED,NO,,
AB22,WL_CLK_P<5>,IOBM,IO_L5P_2,OUTPUT,LVDS_25,2,,,,,,LOCATED,NO,NONE,
AB23,,,VCCO_1,,,1,,,,,2.50,,,,
AB24,SCLK<9>,IOB,IO_L49P_M1DQ10_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
AB25,,,GND,,,,,,,,,,,,
AB26,PCLK<7>,IOB,IO_L49N_M1DQ11_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
AC1,BUSB_DIN_DAC,IOB,IO_L34N_M3UDQSN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
AC2,BUSA_RAMP,IOB,IO_L34P_M3UDQS_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
AC3,BUSA_DO<13>,IOB,IO_L8N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
AC4,BUSA_DO<12>,IOB,IO_L1N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
AC5,WL_CLK_P<1>,IOBM,IO_L61P_2,OUTPUT,LVDS_25,2,,,,,,LOCATED,NO,NONE,
AC6,SSTIN_N<3>,IOBS,IO_L53N_2,,LVDS_25,2,,,,,,LOCATED,NO,,
AC7,,,VCCAUX,,,,,,,,2.5,,,,
AC8,,IPAD,MGTRXP0_245,UNUSED,,,,,,,,,,,
AC9,,,MGTAVTTRX_245,,,,,,,,,,,,
AC10,,IPAD,MGTRXP1_245,UNUSED,,,,,,,,,,,
AC11,,,GND,,,,,,,,,,,,
AC12,,IPAD,MGTREFCLK1P_245,UNUSED,,,,,,,,,,,
