#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Oct 07 14:41:19 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       scrod_top_A3_map.ncd
#OUTPUT FILE:      scrod_top_A3_pad.csv
#PART TYPE:        xc6slx150t
#SPEED GRADE:      -3
#PACKAGE:          fgg676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,TDC1_TRG<1>,IOB,IO_L14N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A3,BUSA_DO<1>,IOB,IO_L14P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A4,BUSB_DO<4>,IOB,IO_L22N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A5,TDC10_TRG<3>,IOB,IO_L24N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A6,,OPAD,MGTTXN0_101,UNUSED,,,,,,,,,,,
A7,,,MGTAVTTTX_101,,,,,,,,,,,,
A8,,OPAD,MGTTXN1_101,UNUSED,,,,,,,,,,,
A9,,,GND,,,,,,,,,,,,
A10,,IPAD,MGTREFCLK0N_101,UNUSED,,,,,,,,,,,
A11,,,GND,,,,,,,,,,,,
A12,TDC4_TRG_16,IOB,IO_L36N_GCLK14_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A13,TDC_MON_TIMING<3>,IOB,IO_L35N_GCLK16_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A14,TDC5_TRG_16,IOB,IO_L37N_GCLK12_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A15,,,GND,,,,,,,,,,,,
A16,,IPAD,MGTREFCLK1N_123,UNUSED,,,,,,,,,,,
A17,,,GND,,,,,,,,,,,,
A18,mgttxn,OPAD,MGTTXN0_123,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
A19,,,MGTAVTTTX_123,,,,,,,,,,,,
A20,,OPAD,MGTTXN1_123,UNUSED,,,,,,,,,,,
A21,,,GND,,,,,,,,,,,,
A22,USB_PA7,IOB,IO_L63N_SCP6_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A23,SHOUT<0>,IOB,IO_L65N_SCP2_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A24,,,TCK,,,,,,,,,,,,
A25,WL_CLK_P<8>,IOB,IO_L2N_M5A14_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,YES,NONE,
A26,,,GND,,,,,,,,,,,,
AA1,SSTIN_N<1>,IOB,IO_L36N_M3DQ9_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AA2,TOP_AMUX_S<1>,IOB,IO_L36P_M3DQ8_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AA3,SSTIN_N<2>,IOB,IO_L2N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AA4,WL_CLK_P<2>,IOB,IO_L2P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,YES,NONE,
AA5,,,VCCAUX,,,,,,,,2.5,,,,
AA6,RAM1_WE,IOB,IO_L64N_D9_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA7,RAM2_OE,IOB,IO_L64P_D8_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA8,RAM1_CE1,IOB,IO_L52N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA9,SIN<0>,IOB,IO_L47P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA10,BUSB_WR_ADDRCLR,IOB,IO_L48P_D7_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA11,BUSA_DIN_DAC,IOB,IO_L41N_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA12,BUSA_RD_ROWSEL_S<0>,IOB,IO_L33N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA13,BUSA_SAMPLESEL_S<0>,IOB,IO_L36N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA14,,,VCCO_2,,,2,,,,,2.50,,,,
AA15,FIBER_0_LINK_UP,IOB,IO_L28P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA16,status_fake,IOB,IO_L24N_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA17,WR1_ENA<0>,IOB,IO_L16N_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA18,TDC_CS_DAC<0>,IOB,IO_L20P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA19,WL_CLK_P<1>,IOB,IO_L18P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,YES,NONE,
AA20,,,VCCO_2,,,2,,,,,2.50,,,,
AA21,TDC_AMUX_S<0>,IOB,IO_L15P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA22,USB_PA4,IOB,IO_L2N_CMPMOSI_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA23,,IOBM,IO_L67P_1,UNUSED,,1,,,,,,,,,
AA24,,IOBS,IO_L67N_1,UNUSED,,1,,,,,,,,,
AA25,SHOUT<7>,IOB,IO_L47P_FWE_B_M1DQ0_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AA26,BUSA_DO<7>,IOB,IO_L47N_LDC_M1DQ1_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AB1,,IOBS,IO_L32N_M3DQ15_3,UNUSED,,3,,,,,,,,,
AB2,,,GND,,,,,,,,,,,,
AB3,TDC_AMUX_S<1>,IOB,IO_L32P_M3DQ14_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AB4,BUSA_RD_ROWSEL_S<2>,IOB,IO_L8P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AB5,WL_CLK_N<2>,IOB,IO_L1P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,YES,NONE,
AB6,,,VCCO_2,,,2,,,,,2.50,,,,
AB7,RAM1_CE2,IOB,IO_L53P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB8,,,VCCAUX,,,,,,,,2.5,,,,
AB9,BUSA_RD_COLSEL_S<0>,IOB,IO_L47N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB10,,,MGTRREF_245,,,,,,,,,,,,
AB11,SSTIN_P<0>,IOB,IO_L48N_RDWR_B_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB12,,,MGTAVTTRCAL_245,,,,,,,,,,,,
